FECHA DE INGRESO,FECHA ULTIMO REGISTRO,Estatus,Días Laborados,FECHA DE NACIMIENTO,No de Crédito Infonavit,PUESTO,AREA,TURNO,MUNICIPIO,SALARIO MENSUAL,ESCOLARIDAD,GENERO,Tipo de renuncia
2022-01-31,2023-06-29,baja,514,1993-10-31 00:00:00,NO,MECANICO,MANTENIMIENTO,ROLA,TALA,13200.0,PREPARATORIA,MASCULINO,BAJA
2022-03-22,2023-09-07,baja,534,1992-04-06 00:00:00,NO,OP PRODUCCION,PRODUCCION,A,TALA,6600.0,PRIMARIA,FEMENINO,VOLUNTARIA
2022-06-29,2024-01-07,baja,557,1995-10-02 00:00:00,SI,MONTACARGUISTA,ALMACEN,B,TALA,11250.0,PREPARATORIA,MASCULINO,VOLUNTARIA
2022-03-14,2023-09-28,baja,563,2001-07-31 00:00:00,NO,OP PRODUCCION,PRODUCCION,C,TALA,6000.0,PRIMARIA,FEMENINO,VOLUNTARIA
2022-01-24,2023-09-05,baja,589,2003-10-19 00:00:00,NO,OP PRODUCCION,PRODUCCION,A,TALA,6000.0,CURSANDO_SECUNDARIA,FEMENINO,VOLUNTARIA
2021-10-16,2023-06-16,baja,608,1996-05-02 00:00:00,SI,MONTACARGUISTA,ALMACEN,C,TALA,11250.0,SECUNDARIA,MASCULINO,ABANDONO
2024-01-15,2024-04-30,activo,106,2001-10-02 00:00:00,NO,OP PRODUCCION,PRODUCCION,C,EL ARENAL,8100.0,LICENCIATURA,FEMENINO,ACTIVO
2022-05-09,2024-04-30,activo,722,2003-12-28 00:00:00,NO,OP PRODUCCION,PRODUCCION,B,EL ARENAL,7500.0,PREPARATORIA,FEMENINO,ACTIVO
2023-11-22,2024-04-30,activo,160,1995-04-05 00:00:00,NO,MONTACARGUISTA,ALMACEN,A,CD GUZMAN,14000.0,INGENIERO,MASCULINO,ACTIVO
2021-12-13,2024-04-30,activo,869,1999-10-14 00:00:00,NO,OP PRODUCCION,PRODUCCION,A,EL ARENAL,6000.0,PREPARATORIA,MASCULINO,ACTIVO
2022-06-13,2024-04-30,activo,687,1993-01-18 00:00:00,NO,OP PRODUCCION,PRODUCCION,A,EL ARENAL,6600.0,PREPARATORIA,MASCULINO,ACTIVO
2024-01-08,2024-04-30,activo,113,1985-11-08 00:00:00,NO,OP PRODUCCION,PRODUCCION,C,HUAXTLA,8100.0,PRIMARIA,FEMENINO,ACTIVO
2023-03-21,2024-04-30,activo,406,1983-02-13 00:00:00,NO,OP PRODUCCION,PRODUCCION,C,SAN JUAN DE LOS ARCOS ,8400.0,SECUNDARIA,FEMENINO,ACTIVO
2023-09-18,2024-04-30,activo,225,1969-10-28 00:00:00,NO,OP PRODUCCION,PRODUCCION,A,TALA,7500.0,PRIMARIA,FEMENINO,ACTIVO
2022-02-02,2024-04-30,activo,818,1972-12-01 00:00:00,SI,MONTACARGUISTA,ALMACEN,B,TALA,11250.0,SECUNDARIA,MASCULINO,ACTIVO
2023-10-09,2024-04-30,activo,204,1973-09-13 00:00:00,NO,OP PRODUCCION,PRODUCCION,A,TALA,7500.0,PRIMARIA,MASCULINO,ACTIVO
2023-10-16,2024-04-30,activo,197,1975-10-12 00:00:00,SI,OP PRODUCCION,PRODUCCION,A,TALA,7500.0,SECUNDARIA,FEMENINO,ACTIVO
2021-06-12,2024-04-30,activo,1053,1979-09-15 00:00:00,SI,OP PRODUCCION,PRODUCCION,C,TALA,6000.0,SECUNDARIA,FEMENINO,ACTIVO
2022-03-14,2024-04-30,activo,778,1981-02-26 00:00:00,NO,OP PRODUCCION,PRODUCCION,B,TALA,7500.0,SECUNDARIA,FEMENINO,ACTIVO
2023-02-20,2024-04-30,activo,435,1982-06-09 00:00:00,NO,OP PRODUCCION,PRODUCCION,B,TALA,7500.0,SIN_ESTUDIOS,FEMENINO,ACTIVO
2021-12-27,2024-04-30,activo,855,1983-06-18 00:00:00,NO,INSP CALIDAD,CALIDAD,B,TALA,6000.0,SECUNDARIA,FEMENINO,ACTIVO
2022-11-14,2024-04-30,activo,533,1983-09-19 00:00:00,SI,OP PRENSA,PRENSA,B,TALA,15500.0,PREPARATORIA,FEMENINO,ACTIVO
2022-02-14,2024-04-30,activo,806,1983-11-01 00:00:00,NO,OP PRODUCCION,PRODUCCION,C,TALA,6000.0,SECUNDARIA,FEMENINO,ACTIVO
2022-02-08,2024-04-30,activo,812,1984-01-23 00:00:00,NO,OP PRODUCCION,PRODUCCION,A,TALA,6000.0,SECUNDARIA,FEMENINO,ACTIVO
2022-02-08,2024-04-30,activo,812,1984-12-16 00:00:00,NO,OP PRODUCCION,PRODUCCION,B,TALA,7500.0,PREPARATORIA,FEMENINO,ACTIVO
2022-05-09,2024-04-30,activo,722,1985-12-12 00:00:00,SI,OP PRODUCCION,PRODUCCION,B,TALA,7500.0,SECUNDARIA,FEMENINO,ACTIVO
2024-01-08,2024-04-30,activo,113,1987-12-07 00:00:00,NO,OP PRODUCCION,PRODUCCION,C,TALA,8100.0,SECUNDARIA,FEMENINO,ACTIVO
2022-05-02,2024-04-30,activo,729,1989-02-12 00:00:00,NO,OP PRODUCCION,PRODUCCION,B,TALA,7500.0,SECUNDARIA,FEMENINO,ACTIVO
2023-02-13,2024-04-30,activo,442,1989-05-29 00:00:00,SI,OP PRODUCCION,PRODUCCION,C,TALA,6600.0,PRIMARIA,MASCULINO,ACTIVO
2022-04-11,2024-04-30,activo,750,1993-06-03 00:00:00,NO,AUXILIAR ALMACEN,ALMACEN,B,TALA,11250.0,PREPARATORIA,MASCULINO,ACTIVO
